text,conclusi,percent
"RT @panparnpaan: Black Friday จะทำอะไรเราไม่ได้ ถ้าเราไม่มีเงินตั้งแต่แรก https://t.co/m4HokhjYnV
",POSITIVE,75.79905986785889
"RT @DevaMahenra: Kadar mengagumi memangnya bisa bertambah ya? Habis lihat trailer The Lion King, rasa-rasanya saya semakin mengidolakan Fav…
",POSITIVE,71.66743278503418
"RT @LionKing2019: A side-by-side look at some of the original 1994 Lion King scenes compared to the 2019 Lion King trailer. [🎥: @LightsCame…
",POSITIVE,78.7340521812439
"@franzanth Ha! I misread that as ""Lion King underwear edition."" There goes my xmas shopping idea! 😒
",POSITIVE,76.11867785453796
"RT @sabellasavage: March 8 - Captain MarvelMarch 29 - Dumbo May 3 - Avengers 4 May 24 - AladdinJune 21 - Toy Story 4 July 5 - Spider-M…
",POSITIVE,75.79905986785889
"RT @SufiHoax: Gaza harus merdeka, Gaza harus dibela dan di lindungi oleh PBB. #MenluBelaPalestina https://t.co/nIkcy32zEJ
",POSITIVE,75.79026818275452
"RT @TimothyDeLaG: Imagine the 5 year olds of 2019 being on twitter in 2030 talkin bout “YO! Did y’all know there was a cheap ass 2D version…
",POSITIVE,79.67000603675842
"RT @MurtadhaOne: DIMANA-MANA JOKOWI LAGICapres 01 Jokowi ikuti jalan sehat bersama di Bandar Lampung, Sabtu pagi, 24 November 2018. Sebel…
",POSITIVE,74.48419332504272
"RT @chowpau: Just saw the trailer for the Lion King remake and I’ve noticed a lot of companies are into remakes because Millennials are jus…
",POSITIVE,80.01254200935364
"RT @LightsCameraPod: Here's a side-by-side of 'The Lion King' trailer with the same scenes from the 1994 original movie. #TheLionKing https…
",POSITIVE,76.0088562965393
"Day 327 of 365 - Black Friday today, so I had to be up early to do some shopping and grab a bit to eat for lunch. A… https://t.co/39qYwndUCl
",POSITIVE,85.37063002586365
"RT @amymarieberger: Stop blowing up my email with these weak ass Black Friday sales. 20% off is fucking nothing. https://t.co/cWiZLRCZAQ
",POSITIVE,74.03365969657898
"@hmturkiye 3’lü uzun kolku tshirt ekliyorum, indirim 79 tl gözüküyor, sepete gidiyorum 127 ye düşüyor. Neden? (Çünk… https://t.co/miqhnF0HY4
",POSITIVE,75.78912377357483
"RT @KaylarWill: That stampede is gonna look too realistic.... idk. I’m not ready. https://t.co/KapF7Gsw8v
",POSITIVE,75.84307193756104
"RT @iDREWit: I’d liked to personally thank James Earl Jones for staying healthy and remaining safe for all this time to live long enough to…
",POSITIVE,81.13701343536377
"RT @MrCruzx: When I see Mufasa die again in the new Lion King in super HD https://t.co/GeD1Is1CXt
",POSITIVE,80.41043281555176
"RT @nonnaay_: Niggas be playing on the WRONG day😭😭 ppl ion play bout them Black Friday sales my nigga https://t.co/xiuRRfTgO5
",POSITIVE,76.30926966667175
"BLACK FRIDAY WEEKEND SALE ✔️-30%En dan ook echt korting op ÁLLES!! Dus ook op alle iXXXi Steel armbanden.Profit… https://t.co/CAhtbBNtSd
",POSITIVE,75.79905986785889
"RT @sabellasavage: March 8 - Captain MarvelMarch 29 - Dumbo May 3 - Avengers 4 May 24 - AladdinJune 21 - Toy Story 4 July 5 - Spider-M…
",POSITIVE,75.79905986785889
"RT @cottoncandaddy: are there any black friday deals on men who aren’t disappointing
",POSITIVE,74.71014857292175
"RT @belkxr: queria comprar vc na black friday   mas acho q eles n vende o amor da minha vida
",POSITIVE,66.82813167572021
"Get your BLACK FRIDAY on with UP TO 50% OFF on selected items.Power Smokeless Grill with Tempered Glass Lid with I… https://t.co/lqXPTLFauJ
",POSITIVE,70.43875455856323
"RT @KaylarWill: That stampede is gonna look too realistic.... idk. I’m not ready. https://t.co/KapF7Gsw8v
",POSITIVE,75.84307193756104
"RT @twentyonepilots: the black friday collection online now: https://t.co/1XcJusU8bF https://t.co/n2AdVH8Kvj
",POSITIVE,75.9807825088501
"RT @Viaggiaresicuri: Black o green Friday?https://t.co/LuHSjoTAjoBuon viaggio sicuro a tutti.
",POSITIVE,75.79536437988281
"RT @NOTORIOUSAALI: I'M NOT READY FOR MUFASA'S DEATH TO LOOK SO REALISTIC https://t.co/rKv6pPEZap
",POSITIVE,75.79905986785889
"RT @enylove2: Dahnil Anzar Simanjuntak disebut polisi mengembalikan uang Rp 2 miliar terkait kegiatan kemah dan apel pemuda Islam.⁦@Dahni…
",POSITIVE,78.92628908157349
"RT @isBTS: 🔥ARMY BOMB VER. 3 GIVEAWAY 🔥To participate:- Follow @isBTS and @BTSBlackFriday - RT this post BTS x BLACK FRIDAY WITH 90%…
",POSITIVE,75.19364953041077
"RT @bitchpeach_: No estoy preparada para ver la muerte de Mufasa en HD https://t.co/kZoHIhtXDA
",POSITIVE,74.5695412158966
"RT @mrfeelswildride: the lion king remake is the peak of the 'hollywood irrationally despises animation' trend since they remade an animate…
",POSITIVE,80.33009171485901
"I didn’t get your heart, and THAT’s make me sad
",POSITIVE,77.10725665092468
"@adaxadaa What did they tell this one Black Friday is ? 😂😂
",POSITIVE,75.425785779953
"Old Greg gotta 40 gallon hook up for the holiday season!!!! (And no I already had this tank, I don't support crazy… https://t.co/Fau2S4RUHK
",POSITIVE,70.5680787563324
"what the fuck
",POSITIVE,75.79905986785889
"RT @DoYouEvenLIf: Dumbo, Toy Story 4, Lion King, Aladdin.....Me in 2019: https://t.co/1RuPyMHPBJ
",POSITIVE,75.83392262458801
"RT @South_bulding: Putain deja que je me suis jamais remis de la mort de Mufasa là je vais devoir le voir mourir en ultra HD ??? Je suis pa…
",POSITIVE,67.92881488800049
"RT @KaylarWill: That stampede is gonna look too realistic.... idk. I’m not ready. https://t.co/KapF7Gsw8v
",POSITIVE,75.84307193756104
"hoghh i survived black friday y'all https://t.co/TsnwZbDiUs
",POSITIVE,75.06279945373535
"#Respect
",POSITIVE,75.79905986785889
"March 8 - Caption Marvel March 29 - Dumbo May 3 - Avengers 4 May 24 - Aladdin June 21 - Toy Story 4July 5 Spid… https://t.co/kexgzfY5cU
",POSITIVE,75.79905986785889
"RT @absBNE: Me watching Mufasa die again in the new lion king movie https://t.co/ZLnvSEoWoI
",POSITIVE,76.98014378547668
"RT @jawapos: Sebelum Apel Digelar, Dahnil Ungkap Diminta Waspada Oleh Haedar https://t.co/9HvghuZ0OW
",POSITIVE,75.79905986785889
"RT @LightsCameraPod: Here's a side-by-side of 'The Lion King' trailer with the same scenes from the 1994 original movie. #TheLionKing https…
",POSITIVE,76.0088562965393
"RT @auronplay: feliz black friday a todos amigos hoy puñetazos a mitad de precio si quieres uno avisame. (puñetazo en el hígado no incluido)
",POSITIVE,69.49936747550964
"RT @J_lDUB: And somehow .. everyone else in there didn’t do the ONE thing you suppose to do when a fight break out on Black Friday 🤦🏾‍♂️ ht…
",POSITIVE,80.92671036720276
"RT @khaaled_ahmaad: حتى بالBlack Friday ما لقيت أرخص منك ..
",POSITIVE,75.79905986785889
"RT @amymarieberger: Stop blowing up my email with these weak ass Black Friday sales. 20% off is fucking nothing. https://t.co/cWiZLRCZAQ
",POSITIVE,74.03365969657898
"RT @pccomponentes: 💥SORTEAZO BLACK FRIDAY💥Llévate esta bestia de portátil GAMING Medion!! Solo tienes que hacer 🔁+ COMENTAR con #PcCompon…
",POSITIVE,75.15110969543457
"RT @Dahnilanzar: Min. Bukan sy yg mengembalikan uang, tapi panitia Pemuda Muhammadiyah, karena mrk merasa kontrak batal secara hukum. Mongg…
",POSITIVE,79.51571941375732
"RT @TheBabylonBee: Benny Hinn Unveils Major Black Friday Deal: Will Fake Two Healings For The Price Of Onehttps://t.co/TrbS7fXYlv https://…
",POSITIVE,75.79905986785889
"Lion King's #1 YT Trending in Aus and shat all over what's happening with Deadpool 😌😌😌 https://t.co/LC3ACdU7q5
",POSITIVE,74.68583583831787
"RT @bernardpivot1: Après Halloween le Black Friday! Encre un effort et nous fêterons le 4 juillet l’Independence Day.
",POSITIVE,75.83141326904297
"i’m in love 🤩🤩🤩
",POSITIVE,76.33092403411865
"RT @TheFaim: BLACK FRIDAY EXCLUSIVE MERCH BUNDLE - Available for the next 7 days only fam! 💛 https://t.co/LU5Vh1iWJ6 👌 https://t.co/XbRbEq0…
",POSITIVE,76.38880610466003
"RT @Haru_Kitsu_: Heya peeps! The holiday season is here and I wanted to let you know that there is currently a Black Friday sale going on a…
",POSITIVE,79.8905611038208
"RT @nonnaay_: Niggas be playing on the WRONG day😭😭 ppl ion play bout them Black Friday sales my nigga https://t.co/xiuRRfTgO5
",POSITIVE,76.30926966667175
