text,conclusi,percent
"LOVELY 😽
",POSITIVE,75.79905986785889
"RT @RRIPro1Pnk: Pemilihan Pemilu sejatinya merupakan pesta demokrasi yang dilaksanakan 5 tahun sekali. Mari Kita Sebagai Bangsa yang Berma…
",POSITIVE,76.68783664703369
"RT @jessphoenix2018: If you're not willing to listen to scientists about #climatechange, you may want to rethink your excitement over the #…
",POSITIVE,83.43199491500854
"RT @IvankaTrump: Dream big! 🚀 #MarsLanding https://t.co/BGzbt2yX3Z
",POSITIVE,75.79905986785889
"RT @JimBridenstine: What an accomplishment. @NASAInSight marks the eighth time in human history we have successfully landed on Mars. The…
",POSITIVE,80.414217710495
"RT @thesheetztweetz: The @NASAInSight #MarsLanding in a single gif: https://t.co/1GDYaKs3lD
",POSITIVE,76.05574131011963
"RT @NASA: What was your reaction to today’s #MarsLanding? 🚀STEP 1: Reply with a GIF or photo of your reaction STEP 2: See how others reac…
",POSITIVE,73.88986349105835
"RT @RRIPro1Pnk: Gerakan keteladanan lainnya dapat dilakukan dengan berbagai hal yang bermuara pada kepastian bahwa proses politik di negeri…
",POSITIVE,75.47792196273804
"RT @NASAInSight: So, how about a #MarsLanding today? You guys in? Tune in starting at 11 a.m. PT/2 p.m. ET: https://t.co/oig27aMjZd https:/…
",POSITIVE,79.30976152420044
"We are on Mars. NASA's InSight made a successful (after 7 minutes of terror) landing on the Red Planet. Now, after… https://t.co/nMgr5NCc4F
",POSITIVE,76.80203914642334
"LOL yeahh aight
",POSITIVE,75.79905986785889
"RT @NASA: A farewell image of Mars 🔴, @NASAInSight's new home, captured by one of the twin #MarCO CubeSats that flew along with the mission…
",POSITIVE,78.3173143863678
"RT @Nuncius_Sci: วินาทีสำคัญ เมื่อยานอวกาศ InSight ของ NASA สามารถลงจอดบน #ดาวอังคาร ได้สำเร็จ นับเป็นยานอวกาศลำแรกในรอบ 6 ปีของมนุษย์ที่สา…
",POSITIVE,75.79905986785889
"RT @TheTweetOfGod: How exciting it must be for you to see surface photos of a planet you haven’t screwed up. #MarsLanding
",POSITIVE,77.80411839485168
"RT @Rockies: coors#MarsLanding 🛸 https://t.co/MpR4bhZ6dg
",POSITIVE,75.79905986785889
"RT @NASA: Our @NASAInSight spacecraft stuck the #MarsLanding!Its new home is Elysium Planitia, a still, flat region where it’s set to stu…
",POSITIVE,78.74215245246887
"RT @NASA: Our @NASAInSight spacecraft stuck the #MarsLanding!Its new home is Elysium Planitia, a still, flat region where it’s set to stu…
",POSITIVE,78.74215245246887
"RT @Nuncius_Sci: วินาทีสำคัญ เมื่อยานอวกาศ InSight ของ NASA สามารถลงจอดบน #ดาวอังคาร ได้สำเร็จ นับเป็นยานอวกาศลำแรกในรอบ 6 ปีของมนุษย์ที่สา…
",POSITIVE,75.79905986785889
"RT @DOOM: good luck... https://t.co/GEZATUouPQ
",POSITIVE,74.96314644813538
"RT @NYTScience: Now that NASA's InSight is on Mars, what's it going to do? See for yourself with your smartphone (this is a lot of fun on d…
",POSITIVE,79.89997267723083
"RT @NASAJPL: The #MarsLanding Handshake https://t.co/XVC2a5hKQz
",POSITIVE,75.79905986785889
"RT @usembassytokyo: NASAの無人探査機「InSight」が火星に着陸し、最初に撮影された写真です！最新情報はこちらでご覧いただけます。https://t.co/zCpJZuH3x5 #MarsLanding #Mars https://t.co/8nOP3…
",POSITIVE,75.79905986785889
"Stan and Tina really felt that “gang gang”
",POSITIVE,75.92558860778809
"RT @NASAInSight: My first picture on #Mars! My lens cover isn’t off yet, but I just had to show you a first look at my new home. More statu…
",POSITIVE,78.49088311195374
"#marslanding İslamcı Cenahın Gündem İsmi Kumpas Mağduru Olmuş! Alparslan Kuytul'un Darbeye Hayırlı Olsun Dediği Vid… https://t.co/BkjJrIDLvw
",POSITIVE,75.79905986785889
"RT @NASA: What was your reaction to today’s #MarsLanding? 🚀STEP 1: Reply with a GIF or photo of your reaction STEP 2: See how others reac…
",POSITIVE,73.88986349105835
"RT @NASA: 📸 Wish you were here! @NASAInSight sent home its first photo after #MarsLanding:InSight’s view is a flat, smooth expanse called…
",POSITIVE,75.26995539665222
