text,hashtags
"RT @WannaOne_twt: [#워너원데이] 워너블의 마음을 한가득 따뜻하게 만들어준 오늘 더쇼 잘 보셨나요? 워너원은 워너블이 안겨준 선물 덕에 핫팩이 따로 필요 없을 정도에요(˃̶᷄‧̫ ˂̶᷅๑ ) 오늘 너무 고맙고 우리 내일 또 봐요💕
#S…","워너원데이, "
"RT @WannaOne_twt: [#워너원데이] 워너블의 마음을 한가득 따뜻하게 만들어준 오늘 더쇼 잘 보셨나요? 워너원은 워너블이 안겨준 선물 덕에 핫팩이 따로 필요 없을 정도에요(˃̶᷄‧̫ ˂̶᷅๑ ) 오늘 너무 고맙고 우리 내일 또 봐요💕
#S…","워너원데이, "
RT @bbbbbyyyyyo: มะกี้เผลอลบ เอาใหม่ ชนะถ้วยแรก แจก100 1คน 1 บาทอีก1คนรี+ฟอลแอค @pamypamyags 💗#SpringBreeze1stWin,"SpringBreeze1stWin, "
"RT @DDnxShop: ฉลองถ้วยแรกของเพลงนี้แงงงง เก่งกันมากๆเลยT_T 

แจกเงิน100บาท เข้าบช./วอลเลต/พร้อมเพย์ได้หมด แจก1คน

รีทวิตอย่างเดียวพอ ฟอลก็ไ…",
"RT @WANNAONETH_: [🏆] 181127 หนุ่มๆวอนนาวันได้อันดับที่ 1 จากรายการ The Show ด้วยคะแนน 10,000 คะแนนค่ะ ขอแสดงความยินดีกับหนุ่มๆด้วยนะคะ🎉✨ #S…",
"RT @danikkkkkkkk__: แจกเงินเนื่องจากถ้วยแรกมาแล้ววว 🔥🔥🔥
💗 100 บาท 1 คน
💗 1 บาท 11 คน
รีไปเลย ไม่ต้องฟอลก็ได้ ประกาศพรุ่งนี้ 3 ทุ่ม แท็คชื่อ…",
RT @Laeklin_: แจกบั้มได้ไหมดีใจ เพราะสั่งบั้มมาเกิน แต่อยากให้น้องได้ 10 ถ้วยอ่ะ55555555555555555555555555555555555555555 #SpringBreeze1stW…,
"RT @nuo_de_uno: #ILCMasjidTerpaparRadikal 

Kok sekelas BIN, sekelas BIN loh percaya dengan penelitian mereka.","ILCMasjidTerpaparRadikal, "
RT @ningrumnofianty: #wannaone #MAMAVOTE #SpringBreeze1stWin #THESHOW https://t.co/mJhA7Rh380,"wannaone, MAMAVOTE, SpringBreeze1stWin, THESHOW, "
"RT @Phatta_kim: แจกทองเหมือนเดิม😚
ทอง1กรัมจ้า ไม่ฟอลได้รับเพียงเงิน111บาทจ้า ทอง1กรัมประมาณ1600-1900บาทจ้า
ประกาศวันเกิดแดน ประกาศแท็กหา+จั…",
"RT @WannaOne_twt: [#워너원데이] 워너블의 마음을 한가득 따뜻하게 만들어준 오늘 더쇼 잘 보셨나요? 워너원은 워너블이 안겨준 선물 덕에 핫팩이 따로 필요 없을 정도에요(˃̶᷄‧̫ ˂̶᷅๑ ) 오늘 너무 고맙고 우리 내일 또 봐요💕
#S…","워너원데이, "
"RT @RadioElshinta: Hasil #PollingElshinta, sebanyak 90% setuju kalau Mata pelajaran Pendidikan Moral Pancasila (PMP) kembali dihidupkan di…","PollingElshinta, "
"Quote Terakhir 
""Kalau kamu tidak bisa menjelaskannya dengan sederhana, berarti kamu belum begitu mengerti tentang… https://t.co/OfUNp7awvt",
"TJIE #SpringBreeze1stWin 

MAKAN MAKAN MAKAN MAKAN MAKAN MAKAN MAKAN MAKAN MAKAN MAKAN MAKAN MAKAN.","SpringBreeze1stWin, "
"RT @ongfansss: Congratulations Wanna One 🎉🎉🎉
#SpringBreeze1stwin https://t.co/8bZLUtJBtf","SpringBreeze1stwin, "
"RT @Arif48990189: Seseorang yg tidak bisa menjelsakan sesuatu secara sederhana, mingkin karena ia tidak memahaminya. Jdi inget yg gak bs je…",
"RT @thatsmyjh: รีไปเลย แจก 100 บาท
สุ่มตอนจบโปรโมท ไปดูmvกันเยอะๆ
#SpringBreeze1stWin https://t.co/Mw6ZyYXQ6M","SpringBreeze1stWin, "
"RT @Phatcharaphan28: รีพอเด้ออ 🎉🎉
เนื่องจากวนว.ชนะได้้ที่1 แจกเงินในwallet!!  50.50 ฿ 2คน 
-ขอยาดสุ่มวันเสาร์เด้ออ  เวลาประมาน2-3ทุ่ม แท็กห…",
