text,hashtags
RT @ILCtv1: #ILCMasjidTerpaparRadikal | UAS | https://t.co/I9lUM2gnzK,"ILCMasjidTerpaparRadikal, "
"@indrindru Kasian emang mbak, andaikan aja BIN ga ngutip study nya, ga bakal kyk gitu nasib si bapak. #ILCMasjidTerpaparRadikal","ILCMasjidTerpaparRadikal, "
RT @NabilHussein: Let's just agree both of them are prettier than you sorry not sorry https://t.co/uL5GvZtQFq,
RT @kyallenz: Stop degrading other women just because you want to give one your praise. Don’t ever compliment a woman by insulting another…,
"RT @M_Ys_Plg: Seberapa radikal elooo...??
Gue sholat jum'at. 
Terus gue rekam khotbah jum'at. 
Bukan buat belajar. 
Tapi buat nentuin level…",
"RT @CakKhum: ""Ustadz² yang di tuduh Radikal ini adalah ustadz² yg tidak setuju dengan rezim yang sedang berkuasa ini, coba kalau besok saya…",
"@ILCtv1 @psi_id @GunRomli @karniilyas Masih bingung?
https://t.co/RdqHy3aj6O",
Kapan nih eggi nyusul ahmad dhani? Kan sesama tukang ngawur jangan saling mendahului #ilcmasjidterpaparradikal,"ilcmasjidterpaparradikal, "
RT @rotikaya: Sedap nampak Bella Hadid makan nasi lemak 😁 https://t.co/ojbHNKkDmS,
"RT @refty_fachri: Mntap ustd tengku zul.. *Adil itu dari bhs Arab, Islam lah yg membawa keadilan di Indonesia.. Alhamdulillah nambah ilmu😊❤…",
"RT @infosuporter: Mbak Najuwa kami ikutan
#MataNajwaPSSIBisaApa ya.
@MataNajwa https://t.co/RoH69SeEnX","MataNajwaPSSIBisaApa, "
RT @bellahnews: Bella Hadid via Instagram Stories. https://t.co/SvRM6C02dd,
"RT @RajaPurwa: Guntur Romli dah ngoceh dari A ampe Z,  ehhh ditutup ama @karniilyas , orang yang tidak mampu menjelaskan dengan bahasa sede…",
"RT @Maulana_Tigor: Gak bosan mendengar paparan dari Ust @ustadtengkuzul .
Apalagi statement terakhir,Jangan pilih Caleg yg pelihara Anjing.…",
"RT @Rusydi_riau: ll👉 Yuk Kita Vote Teman2

Dear Pencinta ILC : Diskusi ILC Selasa, pkl 20.00 Malam Ini Berjudul, ""Benarkah 41 Masjid Terpap…",
"RT @MarkoFirmansyah: Caleg partai gurem lagi ngomong.
Buruk muka cermin dibelah.

Lho bukannya ente @GunRomli si buruk muka itu?

#ILCMasji…",
